County Code,County Title,MSA Code,MSA Title,CSA Code,CSA Title
72021,"Bayamon Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72023,"Cabo Rojo Municipio, Puerto Rico",C4190,"San German, PR MSA",CS364,"Mayaguez-San German, PR CSA"
72025,"Caguas Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72027,"Camuy Municipio, Puerto Rico",C1164,"Arecibo, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72029,"Canovanas Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72031,"Carolina Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72033,"Catano Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72035,"Cayey Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72037,"Ceiba Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72039,"Ciales Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72041,"Cidra Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72043,"Coamo Municipio, Puerto Rico",C1762,"Coamo, PR MicroSA",CS434,"Ponce-Coamo-Santa Isabel, PR CSA"
72045,"Comerio Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72047,"Corozal Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72051,"Dorado Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72053,"Fajardo Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72054,"Florida Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72055,"Guanica Municipio, Puerto Rico",C3866,"Ponce, PR MSA",CS434,"Ponce-Coamo-Santa Isabel, PR CSA"
72057,"Guayama Municipio, Puerto Rico",C2502,"Guayama, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72059,"Guayanilla Municipio, Puerto Rico",C3866,"Ponce, PR MSA",CS434,"Ponce-Coamo-Santa Isabel, PR CSA"
72061,"Guaynabo Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72063,"Gurabo Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72065,"Hatillo Municipio, Puerto Rico",C1164,"Arecibo, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72067,"Hormigueros Municipio, Puerto Rico",C3242,"Mayaguez, PR MSA",CS364,"Mayaguez-San German, PR CSA"
72069,"Humacao Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72071,"Isabela Municipio, Puerto Rico",C1038,"Aguadilla-Isabela, PR MSA",,
72073,"Jayuya Municipio, Puerto Rico",C2758,"Jayuya, PR MicroSA",,
72075,"Juana Diaz Municipio, Puerto Rico",C3866,"Ponce, PR MSA",CS434,"Ponce-Coamo-Santa Isabel, PR CSA"
72077,"Juncos Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72079,"Lajas Municipio, Puerto Rico",C4190,"San German, PR MSA",CS364,"Mayaguez-San German, PR CSA"
72081,"Lares Municipio, Puerto Rico",C1038,"Aguadilla-Isabela, PR MSA",,
72085,"Las Piedras Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72087,"Loiza Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72089,"Luquillo Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72091,"Manati Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72095,"Maunabo Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72097,"Mayaguez Municipio, Puerto Rico",C3242,"Mayaguez, PR MSA",CS364,"Mayaguez-San German, PR CSA"
72099,"Moca Municipio, Puerto Rico",C1038,"Aguadilla-Isabela, PR MSA",,
72101,"Morovis Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72103,"Naguabo Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72105,"Naranjito Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72107,"Orocovis Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72109,"Patillas Municipio, Puerto Rico",C2502,"Guayama, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72111,"Penuelas Municipio, Puerto Rico",C3866,"Ponce, PR MSA",CS434,"Ponce-Coamo-Santa Isabel, PR CSA"
72113,"Ponce Municipio, Puerto Rico",C3866,"Ponce, PR MSA",CS434,"Ponce-Coamo-Santa Isabel, PR CSA"
72115,"Quebradillas Municipio, Puerto Rico",C1164,"Arecibo, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72117,"Rincon Municipio, Puerto Rico",C1038,"Aguadilla-Isabela, PR MSA",,
72119,"Rio Grande Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72121,"Sabana Grande Municipio, Puerto Rico",C4190,"San German, PR MSA",CS364,"Mayaguez-San German, PR CSA"
72123,"Salinas Municipio, Puerto Rico",C1764,"Coco, PR MicroSA",CS490,"San Juan-Carolina, PR CSA"
72125,"San German Municipio, Puerto Rico",C4190,"San German, PR MSA",CS364,"Mayaguez-San German, PR CSA"
72127,"San Juan Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72129,"San Lorenzo Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72131,"San Sebastian Municipio, Puerto Rico",C1038,"Aguadilla-Isabela, PR MSA",,
72133,"Santa Isabel Municipio, Puerto Rico",C4218,"Santa Isabel, PR MicroSA",CS434,"Ponce-Coamo-Santa Isabel, PR CSA"
72135,"Toa Alta Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72137,"Toa Baja Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72139,"Trujillo Alto Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72141,"Utuado Municipio, Puerto Rico",C1038,"Aguadilla-Isabela, PR MSA",,
72143,"Vega Alta Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72145,"Vega Baja Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72149,"Villalba Municipio, Puerto Rico",C3866,"Ponce, PR MSA",CS434,"Ponce-Coamo-Santa Isabel, PR CSA"
72151,"Yabucoa Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
